location_id,name,type,latitude,longitude
LOC_001,Commonwealth Hall,Hall,5.65403,-0.18512
LOC_002,Legon Hall,Hall,5.65175,-0.1832
LOC_003,Volta Hall,Hall,5.6505,-0.1856
LOC_004,Akuafo Hall,Hall,5.6492,-0.1837
LOC_005,Pentagon Hostel,Hall,5.6601,-0.1865
LOC_006,ISH 1,Hall,5.6575,-0.1852
LOC_007,TF Hostel,Hall,5.641,-0.181
LOC_008,Jean Nelson Hall,Hall,5.6445,-0.189
LOC_009,Elizabeth Sey Hall,Hall,5.6438,-0.1885
LOC_010,Balme Library,Facility,5.65158,-0.18693
LOC_011,Great Hall,Lecture Venue,5.6552,-0.1871
LOC_012,JQB,Lecture Venue,5.6525,-0.1818
LOC_013,N-Block,Lecture Venue,5.6531,-0.1809
LOC_014,Central Block,Lecture Venue,5.6538,-0.1805
LOC_015,Business School,Lecture Venue,5.6521,-0.1802
LOC_016,Computer Science Dept,Lecture Venue,5.6502,-0.1788
LOC_017,Physics Dept,Lecture Venue,5.6498,-0.1795
LOC_018,Chemistry Dept,Lecture Venue,5.6492,-0.1798
LOC_019,University Hospital,Facility,5.6415,-0.1765
LOC_020,Night Market,Facility,5.6452,-0.1855
LOC_021,Bush Canteen,Facility,5.6508,-0.1825
LOC_022,Athletic Oval,Facility,5.648,-0.1865
LOC_023,UGCS Labs,Facility,5.6528,-0.1885
LOC_024,Main Gate,Facility,5.6362,-0.1789
LOC_025,JQB Room 1,Lecture Venue,5.652528,-0.181895
LOC_026,JQB Room 2,Lecture Venue,5.652455,-0.181855
LOC_027,JQB Room 3,Lecture Venue,5.652547,-0.181765
LOC_028,JQB Room 4,Lecture Venue,5.652578,-0.181883
LOC_029,JQB Room 5,Lecture Venue,5.652484,-0.181894
LOC_030,JQB Room 6,Lecture Venue,5.652444,-0.181799
LOC_031,JQB Room 7,Lecture Venue,5.652405,-0.18186
LOC_032,JQB Room 8,Lecture Venue,5.65253,-0.181791
LOC_033,JQB Room 9,Lecture Venue,5.652444,-0.181782
LOC_034,JQB Room 10,Lecture Venue,5.652562,-0.181899
LOC_035,JQB Room 11,Lecture Venue,5.652561,-0.18176
LOC_036,JQB Room 12,Lecture Venue,5.652468,-0.181869
LOC_037,JQB Room 13,Lecture Venue,5.652591,-0.181833
LOC_038,JQB Room 14,Lecture Venue,5.652419,-0.181881
LOC_039,JQB Room 15,Lecture Venue,5.652569,-0.181779
LOC_040,Balme Library Section 1,Facility,5.651641,-0.186884
LOC_041,Balme Library Section 2,Facility,5.651587,-0.186835
LOC_042,Balme Library Section 3,Facility,5.651556,-0.18692
LOC_043,Balme Library Section 4,Facility,5.651646,-0.186906
LOC_044,Balme Library Section 5,Facility,5.651652,-0.186915
LOC_045,Balme Library Section 6,Facility,5.651621,-0.187021
LOC_046,Balme Library Section 7,Facility,5.651526,-0.186972
LOC_047,Balme Library Section 8,Facility,5.651496,-0.186983
LOC_048,Business School Theatre 1,Lecture Venue,5.65202,-0.180244
LOC_049,Business School Theatre 2,Lecture Venue,5.652127,-0.180227
LOC_050,Business School Theatre 3,Lecture Venue,5.652074,-0.180258
LOC_051,Business School Theatre 4,Lecture Venue,5.652053,-0.180113
LOC_052,Business School Theatre 5,Lecture Venue,5.65213,-0.180178
LOC_053,Night Market Stall 1,Facility,5.645134,-0.185454
LOC_054,Night Market Stall 2,Facility,5.645133,-0.185524
LOC_055,Night Market Stall 3,Facility,5.645298,-0.185472
