# University Hospital, Legon (University of Ghana Health Services Directorate) -- DCIT 308/204 Ghana Smart Service Operations Optimizer project dataset.
# Department/unit names are grounded in the hospital's published structure (ug.edu.gh/healthservices/hospital-units, /services); coordinates are small offsets around the real University of Ghana, Legon campus (~5.6505N -0.1855W). Sub-wards, room-level service points, corridor distances/times/road-condition weights, request logs, and resource figures are plausible illustrative figures for the class project, NOT verified real hospital records (no real patient or staff data is used).
resourceId,type,homeLocation,capacity,availabilityStatus
R001,pharmacist,L024,73,BUSY
R002,doctor,L041,146,AVAILABLE
R003,pharmacist,L037,148,BUSY
R004,nurse,L043,129,AVAILABLE
R005,cleaner,L028,130,OFFLINE
R006,trolley,L054,3,AVAILABLE
R007,porter,L008,162,AVAILABLE
R008,cleaner,L053,163,AVAILABLE
R009,doctor,L035,121,AVAILABLE
R010,pharmacist,L004,88,AVAILABLE
R011,wheelchair,L051,1,AVAILABLE
R012,ambulance,L010,3,AVAILABLE
R013,cleaner,L043,126,AVAILABLE
R014,pharmacist,L010,96,BUSY
R015,nurse,L003,170,BUSY
R016,wheelchair,L019,3,AVAILABLE
R017,lab-technician,L028,110,AVAILABLE
R018,wheelchair,L044,2,BUSY
R019,ambulance,L049,3,BUSY
R020,oxygen-cylinder,L060,2,OFFLINE
R021,lab-technician,L035,138,AVAILABLE
R022,lab-technician,L043,158,OFFLINE
R023,lab-technician,L032,123,AVAILABLE
R024,nurse,L020,133,AVAILABLE
R025,pharmacist,L009,90,OFFLINE
R026,ambulance,L050,3,OFFLINE
R027,cleaner,L052,79,AVAILABLE
R028,nurse,L060,100,AVAILABLE
R029,lab-technician,L040,109,AVAILABLE
R030,nurse,L013,164,AVAILABLE
R031,nurse,L003,143,AVAILABLE
R032,pharmacist,L033,150,BUSY
R033,pharmacist,L012,97,BUSY
R034,oxygen-cylinder,L003,1,AVAILABLE
R035,pharmacist,L049,70,BUSY
R036,ambulance,L050,2,OFFLINE
R037,trolley,L004,2,AVAILABLE
R038,porter,L024,171,OFFLINE
R039,pharmacist,L026,151,AVAILABLE
R040,wheelchair,L055,1,AVAILABLE
R041,nurse,L036,129,AVAILABLE
R042,doctor,L053,165,BUSY
R043,nurse,L050,140,BUSY
R044,pharmacist,L021,101,BUSY
R045,doctor,L058,97,BUSY
R046,porter,L045,173,OFFLINE
R047,nurse,L060,164,AVAILABLE
R048,trolley,L023,3,BUSY
R049,pharmacist,L028,95,AVAILABLE
R050,doctor,L045,85,BUSY
R051,cleaner,L041,173,AVAILABLE
R052,pharmacist,L043,156,AVAILABLE
R053,pharmacist,L037,77,AVAILABLE
R054,pharmacist,L051,177,BUSY
R055,cleaner,L019,105,AVAILABLE
R056,doctor,L027,68,AVAILABLE
R057,pharmacist,L022,152,AVAILABLE
R058,doctor,L037,153,AVAILABLE
R059,pharmacist,L055,126,AVAILABLE
R060,cleaner,L041,137,AVAILABLE
