resource_id,type,current_location_id,status,batch_capacity
RES_001,campus_shuttle,LOC_009,available,20
RES_002,janitorial_staff,LOC_009,available,20
RES_003,security_patrol,LOC_055,available,20
RES_004,campus_shuttle,LOC_004,busy,20
RES_005,campus_shuttle,LOC_005,available,20
RES_006,campus_shuttle,LOC_001,available,20
RES_007,maintenance_van,LOC_041,available,20
RES_008,maintenance_van,LOC_022,busy,20
RES_009,campus_shuttle,LOC_008,available,20
RES_010,maintenance_van,LOC_010,available,20
RES_011,security_patrol,LOC_022,available,20
RES_012,janitorial_staff,LOC_051,available,20
RES_013,campus_shuttle,LOC_005,available,20
RES_014,security_patrol,LOC_019,busy,20
RES_015,campus_shuttle,LOC_004,busy,20
RES_016,maintenance_van,LOC_055,busy,20
RES_017,maintenance_van,LOC_022,offline,20
RES_018,campus_shuttle,LOC_003,offline,20
RES_019,janitorial_staff,LOC_034,available,20
RES_020,janitorial_staff,LOC_029,busy,20
RES_021,maintenance_van,LOC_040,available,20
RES_022,janitorial_staff,LOC_007,available,20
RES_023,campus_shuttle,LOC_008,available,20
RES_024,janitorial_staff,LOC_037,available,20
RES_025,janitorial_staff,LOC_016,available,20
RES_026,janitorial_staff,LOC_033,available,20
RES_027,security_patrol,LOC_041,available,20
RES_028,lab_technician,LOC_038,offline,20
RES_029,lab_technician,LOC_011,available,20
RES_030,security_patrol,LOC_023,available,20
RES_031,security_patrol,LOC_019,available,20
RES_032,maintenance_van,LOC_043,available,20
RES_033,security_patrol,LOC_021,available,20
RES_034,lab_technician,LOC_025,available,20
RES_035,maintenance_van,LOC_054,offline,20
