road_id,source_location_id,target_location_id,distance_meters,route_type
RD_001,LOC_036,LOC_015,226,tarred_road
RD_002,LOC_054,LOC_050,1160,shuttle_route
RD_003,LOC_050,LOC_004,596,shuttle_route
RD_004,LOC_015,LOC_053,1162,shuttle_route
RD_005,LOC_003,LOC_052,752,shuttle_route
RD_006,LOC_021,LOC_026,236,tarred_road
RD_007,LOC_005,LOC_014,1158,shuttle_route
RD_008,LOC_037,LOC_046,697,shuttle_route
RD_009,LOC_021,LOC_014,480,tarred_road
RD_010,LOC_026,LOC_042,683,shuttle_route
RD_011,LOC_030,LOC_010,691,shuttle_route
RD_012,LOC_017,LOC_009,1438,shuttle_route
RD_013,LOC_016,LOC_048,309,tarred_road
RD_014,LOC_048,LOC_038,223,tarred_road
RD_015,LOC_038,LOC_026,5,tarred_road
RD_016,LOC_015,LOC_009,1562,shuttle_route
RD_017,LOC_033,LOC_032,11,footpath
RD_018,LOC_049,LOC_004,604,shuttle_route
RD_019,LOC_008,LOC_010,983,shuttle_route
RD_020,LOC_041,LOC_011,483,tarred_road
RD_021,LOC_039,LOC_005,1184,shuttle_route
RD_022,LOC_039,LOC_030,16,tarred_road
RD_023,LOC_036,LOC_001,479,footpath
RD_024,LOC_044,LOC_035,695,shuttle_route
RD_025,LOC_049,LOC_018,394,tarred_road
RD_026,LOC_008,LOC_019,1707,shuttle_route
RD_027,LOC_028,LOC_011,776,shuttle_route
RD_028,LOC_030,LOC_001,489,tarred_road
RD_029,LOC_033,LOC_049,210,footpath
RD_030,LOC_033,LOC_007,1530,shuttle_route
RD_031,LOC_041,LOC_020,870,shuttle_route
RD_032,LOC_054,LOC_041,878,shuttle_route
RD_033,LOC_033,LOC_039,16,footpath
RD_034,LOC_010,LOC_024,2312,shuttle_route
RD_035,LOC_049,LOC_011,1000,shuttle_route
RD_036,LOC_035,LOC_050,209,footpath
RD_037,LOC_039,LOC_021,254,tarred_road
RD_038,LOC_002,LOC_008,1236,shuttle_route
RD_039,LOC_024,LOC_054,1481,shuttle_route
RD_040,LOC_052,LOC_020,1163,shuttle_route
RD_041,LOC_016,LOC_004,664,shuttle_route
RD_042,LOC_016,LOC_037,513,shuttle_route
RD_043,LOC_047,LOC_032,703,shuttle_route
RD_044,LOC_053,LOC_005,2001,shuttle_route
RD_045,LOC_049,LOC_035,211,footpath
RD_046,LOC_009,LOC_043,1068,shuttle_route
RD_047,LOC_031,LOC_036,8,footpath
RD_048,LOC_017,LOC_034,487,tarred_road
RD_049,LOC_014,LOC_035,235,footpath
RD_050,LOC_046,LOC_020,866,shuttle_route
RD_051,LOC_026,LOC_043,679,shuttle_route
RD_052,LOC_042,LOC_024,2309,shuttle_route
RD_053,LOC_029,LOC_034,10,tarred_road
RD_054,LOC_008,LOC_016,1553,shuttle_route
RD_055,LOC_015,LOC_005,1356,shuttle_route
RD_056,LOC_022,LOC_002,665,shuttle_route
RD_057,LOC_038,LOC_036,6,footpath
RD_058,LOC_038,LOC_015,227,footpath
RD_059,LOC_005,LOC_046,1145,shuttle_route
RD_060,LOC_041,LOC_004,524,shuttle_route
RD_061,LOC_003,LOC_022,354,footpath
RD_062,LOC_033,LOC_016,496,tarred_road
RD_063,LOC_043,LOC_032,689,shuttle_route
RD_064,LOC_047,LOC_037,699,shuttle_route
RD_065,LOC_037,LOC_031,25,footpath
RD_066,LOC_051,LOC_031,236,tarred_road
RD_067,LOC_013,LOC_007,1614,shuttle_route
RD_068,LOC_007,LOC_043,1622,shuttle_route
RD_069,LOC_028,LOC_023,879,shuttle_route
RD_070,LOC_028,LOC_027,16,tarred_road
RD_071,LOC_047,LOC_004,532,shuttle_route
RD_072,LOC_044,LOC_042,12,footpath
RD_073,LOC_004,LOC_026,498,tarred_road
RD_074,LOC_052,LOC_007,1489,shuttle_route
RD_075,LOC_016,LOC_013,476,footpath
RD_076,LOC_035,LOC_029,20,footpath
RD_077,LOC_028,LOC_012,15,tarred_road
RD_078,LOC_030,LOC_016,498,footpath
RD_079,LOC_029,LOC_052,232,footpath
RD_080,LOC_004,LOC_042,530,shuttle_route
RD_081,LOC_035,LOC_054,1110,shuttle_route
RD_082,LOC_001,LOC_006,463,footpath
RD_083,LOC_011,LOC_027,791,shuttle_route
RD_084,LOC_032,LOC_031,19,footpath
RD_085,LOC_026,LOC_004,498,footpath
RD_086,LOC_025,LOC_001,472,tarred_road
RD_087,LOC_017,LOC_051,311,tarred_road
RD_088,LOC_019,LOC_028,1641,shuttle_route
RD_089,LOC_045,LOC_047,17,tarred_road
RD_090,LOC_010,LOC_013,825,shuttle_route
RD_091,LOC_019,LOC_014,1725,shuttle_route
RD_092,LOC_004,LOC_038,492,footpath
RD_093,LOC_048,LOC_021,340,footpath
RD_094,LOC_033,LOC_055,1072,shuttle_route
RD_095,LOC_034,LOC_011,775,shuttle_route
RD_096,LOC_004,LOC_033,502,footpath
RD_097,LOC_055,LOC_012,1077,shuttle_route
RD_098,LOC_005,LOC_039,1184,shuttle_route
RD_099,LOC_005,LOC_044,1128,shuttle_route
RD_100,LOC_016,LOC_026,505,footpath
RD_101,LOC_037,LOC_016,513,shuttle_route
RD_102,LOC_038,LOC_039,24,footpath
RD_103,LOC_040,LOC_006,813,shuttle_route
RD_104,LOC_027,LOC_043,693,shuttle_route
RD_105,LOC_038,LOC_037,23,tarred_road
RD_106,LOC_017,LOC_014,550,shuttle_route
RD_107,LOC_043,LOC_046,18,tarred_road
RD_108,LOC_016,LOC_017,107,tarred_road
RD_109,LOC_042,LOC_020,868,shuttle_route
RD_110,LOC_030,LOC_021,238,footpath
RD_111,LOC_001,LOC_030,489,footpath
RD_112,LOC_005,LOC_035,1186,shuttle_route
RD_113,LOC_014,LOC_033,248,tarred_road
RD_114,LOC_009,LOC_023,1200,shuttle_route
RD_115,LOC_005,LOC_016,1670,shuttle_route
RD_116,LOC_024,LOC_019,775,shuttle_route
RD_117,LOC_011,LOC_029,780,shuttle_route
RD_118,LOC_054,LOC_035,1110,shuttle_route
RD_119,LOC_040,LOC_052,892,shuttle_route
RD_120,LOC_042,LOC_034,680,shuttle_route
