run_code,algorithm,purpose,request_code,source_location_code,target_location_code,parameters_json,status,started_at,finished_at,runtime_ms,nodes_expanded,edges_relaxed,total_cost_m,path_json,error_message
RUN-0001,a_star,shortest_path,,french-dept,plant-&-envt-biology,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-29 13:09:00,2026-07-29 13:09:00,11.613,35,141,1091.8,"[""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology""]",
RUN-0002,bfs,shortest_path,,geology-dept,humanities,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-27 07:29:00,2026-07-27 07:29:00,13.019,31,119,641.9,"[""geology-dept"", ""inter-affairs"", ""ecowas-coastal-marine"", ""stats-dept"", ""law-school"", ""humanities""]",
RUN-0003,dijkstra,shortest_path,,research-office,pent-hostel-block-c,"{""weight"": ""length_m"", ""avoid_inactive"": true}",failed,2026-07-25 13:28:00,,28.513,84,339,,,Edge weight overflow: negative length_m encountered
RUN-0004,bellman_ford,shortest_path,,MIASA,balme-library,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-28 19:03:00,2026-07-28 19:03:00,26.745,16,68,796.1,"[""MIASA"", ""history-dept"", ""french-dept"", ""economic-policy"", ""balme-library""]",
RUN-0005,hungarian,resource_allocation,SR-2026-0015,home-science,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-08-03 15:42:00,2026-08-03 15:42:01,7.892,31,158,1249.2,,
RUN-0006,bfs,shortest_path,,agric-faculty,computer-science,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-10 05:03:00,2026-07-10 05:03:00,26.035,33,125,679.7,"[""agric-faculty"", ""fam-and-consumer"", ""geology-dept"", ""inter-affairs"", ""ecowas-coastal-marine"", ""stats-dept"", ""computer-science""]",
RUN-0007,bellman_ford,shortest_path,,psychology,french-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-22 06:31:00,2026-07-22 06:31:00,32.668,46,175,1138.5,"[""psychology"", ""mfodwo"", ""CSPS"", ""GCB-lecture-hall"", ""biochem-dept"", ""nursing-and-midwifery"", ""GRASAG"", ""volta-hall"", ""french-dept""]",
RUN-0008,hungarian,resource_allocation,SR-2026-0024,akuafo-hall,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-07-15 02:52:00,2026-07-15 02:52:01,2.404,22,83,253.1,,
RUN-0009,dijkstra,shortest_path,,CSPS,biomed-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-19 01:17:00,2026-07-19 01:17:00,1.23,47,195,1069.0,"[""CSPS"", ""mfodwo"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""computer-science"", ""biomed-dept""]",
RUN-0010,hungarian,resource_allocation,SR-2026-0050,econs-dept,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-08-03 16:32:00,2026-08-03 16:32:01,9.201,29,145,1149.8,,
RUN-0011,dijkstra,shortest_path,,animal-biology,WAGMC,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-20 11:34:00,2026-07-20 11:34:00,32.715,98,391,3427.6,"[""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""legon-hall"", ""maison-francaise"", ""legon-hall-annex"", ""mensah-sarbah-hall"", ""mensah-sarbah-annex"", ""vikings-hostel"", ""bank"", ""jubilee-hall"", ""ish-hostel"", ""limann-hall"", ""WAGMC""]",
RUN-0012,a_star,shortest_path,,economic-policy,balme-library,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-30 15:34:00,2026-07-30 15:34:00,33.173,8,37,161.4,"[""economic-policy"", ""balme-library""]",
RUN-0013,a_star,shortest_path,,akuafo-hall-annex,humanities,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-16 12:58:00,2026-07-16 12:58:00,5.361,69,281,2799.0,"[""akuafo-hall-annex"", ""cafeteria"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""law-school"", ""humanities""]",
