entity_table,entity_code,action,actor,actor_role,occurred_at,old_values,new_values,notes
service_requests,SR-2026-0048,ASSIGN,dispatch.officer,dispatcher,2026-06-24 17:02:00,,"{""assigned_resource"": ""RES-015""}",Nearest available unit allocated
service_requests,SR-2026-0058,UPDATE,facilities.admin,admin,2026-06-25 05:33:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
service_requests,SR-2026-0040,INSERT,dispatch.officer,dispatcher,2026-06-26 06:23:00,,"{""created_via"": ""bulk_import""}",
locations,nursing-and-midwifery,INSERT,gis.surveyor,staff,2026-06-27 09:24:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0059,INSERT,gis.surveyor,staff,2026-06-27 13:41:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0011,ASSIGN,hall.porter,staff,2026-06-27 14:03:00,,"{""assigned_resource"": ""RES-006""}",Nearest available unit allocated
service_requests,SR-2026-0042,ASSIGN,student.portal,student,2026-06-27 17:30:00,,"{""assigned_resource"": ""RES-013""}",Nearest available unit allocated
locations,inter-prog-office,UPDATE,dispatch.officer,dispatcher,2026-06-29 11:01:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
resources,RES-008,INSERT,facilities.admin,admin,2026-06-30 23:36:00,,"{""created_via"": ""bulk_import""}",
locations,religions,UPDATE,dispatch.officer,dispatcher,2026-07-01 06:27:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
algorithm_runs,RUN-0014,INSERT,dispatch.officer,dispatcher,2026-07-01 13:49:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0054,STATUS_CHANGE,hall.porter,staff,2026-07-01 22:40:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
service_requests,SR-2026-0009,INSERT,hall.porter,staff,2026-07-02 08:31:00,,"{""created_via"": ""bulk_import""}",
algorithm_runs,RUN-0017,UPDATE,facilities.admin,admin,2026-07-02 13:55:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
roads,RD-0036,INSERT,dispatch.officer,dispatcher,2026-07-03 09:08:00,,"{""created_via"": ""bulk_import""}",
resources,RES-004,UPDATE,facilities.admin,admin,2026-07-03 19:24:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
algorithm_runs,RUN-0010,INSERT,student.portal,student,2026-07-04 03:00:00,,"{""created_via"": ""bulk_import""}",
locations,mensah-sarbah-annex,UPDATE,dispatch.officer,dispatcher,2026-07-04 07:19:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
locations,philosophy-&-classics,INSERT,gis.surveyor,staff,2026-07-05 14:00:00,,"{""created_via"": ""bulk_import""}",
roads,RD-0165,STATUS_CHANGE,import.job,system,2026-07-05 20:29:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
resources,RES-003,INSERT,student.portal,student,2026-07-06 12:50:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0047,UPDATE,import.job,system,2026-07-06 23:50:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
resources,RES-002,UPDATE,import.job,system,2026-07-07 02:39:00,"{""condition_rating"": 3}","{""condition_rating"": 4}",Routine condition re-survey
roads,RD-0093,INSERT,dispatch.officer,dispatcher,2026-07-07 15:32:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0002,STATUS_CHANGE,student.portal,student,2026-07-07 22:26:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
service_requests,SR-2026-0018,STATUS_CHANGE,hall.porter,staff,2026-07-09 02:17:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
service_requests,SR-2026-0018,INSERT,import.job,system,2026-07-09 06:49:00,,"{""created_via"": ""bulk_import""}",
service_requests,SR-2026-0005,STATUS_CHANGE,hall.porter,staff,2026-07-09 17:54:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
service_requests,SR-2026-0013,ASSIGN,import.job,system,2026-07-09 23:03:00,,"{""assigned_resource"": ""RES-007""}",Nearest available unit allocated
service_requests,SR-2026-0025,STATUS_CHANGE,facilities.admin,admin,2026-07-11 09:30:00,"{""status"": ""open""}","{""status"": ""assigned""}",Dispatcher triage
