road_code,name,from_location_code,to_location_code,length_m,road_type,surface,is_bidirectional,speed_limit_kph,condition_rating,is_active
RD-0001,Balme Library – Department of Economics Link,balme-library,econs-dept,113.8,footpath,concrete,1,5.0,1,1
RD-0002,Balme Library – Economic Policy Management Programme O Link,balme-library,economic-policy,161.4,service,asphalt,1,20.0,2,1
RD-0003,Balme Library – Ghana Korea Information Access Centre Link,balme-library,ghkorea-info,81.5,footpath,concrete,1,5.0,3,1
RD-0004,Great Hall – Research and Innovation Office Complex Link,great-hall,research-office,566.4,minor,asphalt,1,30.0,5,0
RD-0005,Great Hall – Merian Institute for Advanced Studies  Link,great-hall,MIASA,757.3,major,asphalt,1,50.0,4,1
RD-0006,Great Hall – Commonwealth Hall Link,great-hall,commonwealth-hall,459.1,minor,asphalt,1,30.0,4,1
RD-0007,College of Humanities – UG School of Law Link,humanities,law-school,155.5,service,concrete,1,20.0,4,1
RD-0008,College of Humanities – Department of Educational Studies and  Link,humanities,education-dept,180.9,service,asphalt,1,20.0,1,1
RD-0009,College of Humanities – International Programmes Office Link,humanities,inter-prog-office,45.5,footpath,paved_stone,1,5.0,1,1
RD-0010,Department of Computer Science – UG School of Law Link,computer-science,law-school,107.0,footpath,concrete,1,5.0,4,1
RD-0011,"Department of Computer Science – Institute of Statistical, Social and E Link",computer-science,isser,84.3,footpath,concrete,1,5.0,4,1
RD-0012,Department of Computer Science – Department of Biomedical Engineering Link,computer-science,biomed-dept,186.3,service,concrete,1,20.0,4,1
RD-0013,Department of Computer Science – Department of Mathematics Link,computer-science,maths-dept,101.5,footpath,paved_stone,1,5.0,4,1
RD-0014,Department of Computer Science – Department of Statistics and Actuarial Link,computer-science,stats-dept,104.1,footpath,paved_stone,1,5.0,4,1
RD-0015,Department of Computer Science – School of Engineering Sciences Link,computer-science,engineering,164.9,service,concrete,1,20.0,5,1
RD-0016,University of Ghana Business School – Bani Hostel Link,business-school,bani-hostel,638.9,minor,asphalt,1,30.0,4,1
RD-0017,University of Ghana Business School – Pizza King Link,business-school,pent food spot1-info,437.6,minor,asphalt,1,30.0,3,1
RD-0018,University of Ghana Business School – Bobalicious Spot Link,business-school,pent food spot2-info,508.3,minor,asphalt,1,30.0,4,1
RD-0019,University of Ghana Business School – Sweet Top Bites Link,business-school,pent food spot3-info,427.7,minor,asphalt,1,30.0,2,1
RD-0020,Department of Geography and Resource D – Department of Animal Science Link,geography-dept,animal-science-dept,149.4,service,concrete,1,20.0,4,1
RD-0021,Department of Geography and Resource D – School of Agriculture Link,geography-dept,agric-faculty,136.0,service,asphalt,1,20.0,3,1
RD-0022,Department of Geography and Resource D – CERSGIS – Remote Sensing & GIS Lab Link,geography-dept,CERGIS,67.7,footpath,concrete,1,5.0,3,1
RD-0023,UG School of Law – Department of Biomedical Engineering Link,law-school,biomed-dept,211.9,service,asphalt,1,20.0,5,1
RD-0024,UG School of Law – Department of Mathematics Link,law-school,maths-dept,124.6,service,concrete,1,20.0,2,1
RD-0025,UG School of Law – Department of Statistics and Actuarial Link,law-school,stats-dept,90.1,footpath,paved_stone,1,5.0,3,1
RD-0026,UG School of Law – School of Engineering Sciences Link,law-school,engineering,171.5,service,concrete,1,20.0,1,1
RD-0027,Department of Chemistry – Department of Home Science Link,chemistry-dept,home-science,118.9,footpath,concrete,1,5.0,2,1
