resourceId,type,homeLocation,capacity,availabilityStatus
R001,cleaner,L015,119,AVAILABLE
R002,ambulance,L011,73,AVAILABLE
R003,nurse,L020,158,BUSY
R004,wheelchair,L044,29,AVAILABLE
R005,nurse,L026,96,AVAILABLE
R006,oxygen-cylinder,L005,73,AVAILABLE
R007,nurse,L019,176,AVAILABLE
R008,trolley,L015,80,AVAILABLE
R009,doctor,L016,108,OFFLINE
R010,trolley,L018,21,AVAILABLE
R011,doctor,L028,166,OFFLINE
R012,wheelchair,L043,84,BUSY
R013,doctor,L030,118,AVAILABLE
R014,oxygen-cylinder,L019,28,AVAILABLE
R015,doctor,L010,178,AVAILABLE
R016,ambulance,L050,33,AVAILABLE
R017,cleaner,L024,99,AVAILABLE
R018,ambulance,L001,65,AVAILABLE
R019,lab-tech,L056,84,AVAILABLE
R020,trolley,L012,44,AVAILABLE
R021,lab-tech,L007,127,AVAILABLE
R022,trolley,L047,86,AVAILABLE
R023,lab-tech,L016,127,BUSY
R024,ambulance,L001,89,AVAILABLE
R025,cleaner,L008,71,AVAILABLE
R026,ambulance,L031,82,OFFLINE
R027,porter,L036,144,BUSY
R028,oxygen-cylinder,L041,30,OFFLINE
R029,cleaner,L046,162,BUSY
R030,trolley,L041,60,OFFLINE
R031,porter,L056,61,AVAILABLE
R032,oxygen-cylinder,L002,37,OFFLINE
R033,lab-tech,L019,61,AVAILABLE
R034,trolley,L018,37,AVAILABLE
R035,porter,L033,95,AVAILABLE
R036,wheelchair,L012,61,AVAILABLE
